Id,MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,PoolArea,SalePrice,0,1,2,3,4,9,11,15,18,19,20,22,24,25,28,32,33,43,44,53,57,60,71,73,78,85,95
1,60,65.0,8450,7,5,2003,2003,196.0,706,150,856,856,854,1710,1,2,1,3,1,8,0,2,548,0,61,0,0,0,208500,2.2421649291964574,0.12490457850730384,-0.6332685729208458,-1.2484123862611742,-0.1578673741596131,-0.10594053413212345,0.29635823288338725,-0.38954612230991803,0.04258501577917966,-0.40674353620090353,0.14039454328742704,-0.1757628185742087,-0.08348479362108578,-0.034628164521649366,0.18572080919582828,-0.04217383820594838,0.11524095528248661,-0.002837688496475241,0.06589102836248589,0.06924893048008816,-0.0920776896032577,0.017128148541770607,0.013640189767374255,0.03616513248705224,-0.08307692564531852,-0.04697333453230498,0.06149537579427522
2,20,80.0,9600,6,8,1976,1976,0.0,978,284,1262,1262,0,1262,0,2,0,3,1,6,1,2,460,298,0,0,0,0,181500,-0.6135885609694256,-0.949863619790036,-0.29854197396140586,-0.25320685306410895,-0.7241871037598462,-0.26784449919796094,-0.17645452117743826,-0.5532003503140902,0.38851971374844135,0.6956468504988851,0.07955196448152863,-0.2075275401161901,0.37543250775723663,-0.3770493458984477,0.020704021467407036,0.09506005800726204,-0.5158800394659676,0.33626376251445195,0.23977819752780027,-0.3258077108363651,0.021037819064604675,0.017484138764505063,-0.14120791711160943,0.19016268842487385,-0.2656992667571124,0.0009621064371370772,0.010154034383619937
3,60,68.0,11250,7,5,2001,2002,162.0,486,434,920,920,866,1786,1,2,1,3,1,6,1,2,608,0,42,0,0,0,223500,2.510651178720516,-0.41942683615766224,-1.1139694672735214,-0.16832407482917475,-0.03559762975238186,-0.2708604608739859,0.8730481065198414,-0.33439894595579994,0.39519054685147637,-0.2561791953296518,-0.15364353889866794,0.14486498685475663,0.23822929180299288,0.1742510714234347,-0.05125133367220711,-0.3188050613370741,-0.3131462801314478,-0.14080565528556077,-0.07395029036136677,0.07847466749421675,-0.16938298450728395,0.011479723127481953,0.029778148835793394,-0.010786243062020235,-0.04757165857906543,-0.055559038654662496,0.06674639817840793
4,70,60.0,9550,7,5,1915,1970,0.0,216,540,756,961,756,1717,1,1,0,3,1,7,1,3,642,0,35,272,0,0,140000,-0.5532218093394621,0.8579451573076831,-0.6281505188302391,1.6419490713901055,0.4310298737199182,0.4849975567763295,-0.7437452637665595,0.031264649440383624,0.07900739706346052,-0.49804539487362737,-0.2194086035035511,-0.47410627086591317,-0.43357501769955764,0.6078867977597255,-0.2467789393610143,0.6043474497610984,0.03463344437199659,0.0330950399607886,0.8487118325774464,0.23915385001628645,-0.08902151214643934,-0.251065638453754,-0.31360666155439104,0.1826143457395001,-0.30008988539684045,0.07311459819276812,0.24505512246159605
5,60,84.0,14260,8,5,2000,2000,350.0,655,490,1145,1145,1053,2198,1,2,1,4,1,9,1,3,836,192,84,0,0,0,250000,2.5349437621114657,-0.5359727059253737,-1.20448353675874,0.1443877755668829,0.18161488094726427,0.18601691918131824,0.6032717550491344,-0.35238318829644083,0.3042873886259618,-0.1199856392663195,-0.3090746351048548,0.14032199233375137,0.28656851730885874,0.22409745626587116,0.22055361852444988,0.10167915960279907,0.01872625200272288,0.081226557953224,-0.1185405275507962,-0.25125723850533055,0.11156082623146481,0.06512430337247825,-0.3088160358045022,0.28647327745871004,-0.011136919281776658,0.16826819769603493,-0.14235906222532163
6,50,85.0,14115,5,5,1993,1995,0.0,732,64,796,796,566,1362,1,1,1,1,1,5,0,2,480,40,30,0,0,0,143000,0.4442029166427356,0.182366683236068,-0.688235261754625,0.40454534856904134,-0.778181384624808,-0.6220343498544679,0.4040443424750721,-0.4589112855057844,0.7215163389056573,-0.3035757800382962,0.36901063453630756,-0.19572372059167548,0.31650331455109665,-0.6185635363081369,0.2686886466667061,0.7833217257701449,0.24163220132876714,-0.017803549819522275,-0.30688211192748077,0.28499588405724785,0.15080009973552538,0.029582918096974338,-0.19311452598357046,-0.23072616746198732,0.02814759798807773,-0.22121551396705003,-0.1574886636358308
7,20,75.0,10084,8,5,2004,2005,186.0,1369,317,1686,1694,0,1694,1,2,0,3,1,7,1,2,636,255,57,0,0,0,307000,2.1852650473337207,-0.03222463980750481,1.0269240516239213,-0.48699615104606914,-0.7816448531790081,-0.04602646363475979,0.015662052001239598,-0.366254102157472,-0.36613298497998287,-0.12076953691108919,0.2687939816543942,-0.1484606999909589,0.4543509141213368,0.3368358079060619,0.4024273440770396,-0.12937000152395822,0.23246667238249744,-0.006322971334986657,0.13091053030864758,-0.10245167727464262,0.008129102163528407,-0.19599319602674042,0.013353248483055382,-0.019042063196608356,0.176681677092433,-0.13428094886474387,-0.10315038163001197
8,60,0.0,10382,7,6,1973,1973,240.0,859,216,1107,1107,983,2090,1,2,1,3,1,7,2,2,484,235,204,228,0,0,200000,-0.2451207614179004,-1.7150240993187398,-1.439303949293584,0.6250700903667554,0.3827692042524989,0.2331080150935767,-0.4560306075012774,-0.25715680309273303,0.6132061670071792,0.8008511332693351,0.0051203824316504165,0.2545224854045449,0.48024707632655134,-0.3767302534103828,0.09117129194674427,-0.08840607315510791,-0.5221995330132017,-0.35357665319217674,-0.10053982067813436,0.03819245420583634,-0.12818158553374073,-0.11767767035965962,-0.18625074701687902,0.25585623240136346,0.07097790733049023,-0.3474432554460407,0.11341031066838346
9,50,51.0,6120,7,5,1931,1950,0.0,0,952,952,1022,752,1774,0,2,0,2,2,8,2,2,468,90,0,205,0,0,129900,-1.881501650931498,2.1104266741367406,-0.16811799711473496,0.07882851482716138,0.3017150516237691,0.17741286965774786,0.17531547483865118,0.22415895403878233,0.8093953440836515,-0.3247271873916653,-0.39914733853557216,-0.3028978017702044,1.1054227757453,-0.01609767895680523,0.4730858262207362,-0.03687081846786841,-1.0431046586799342,0.32376809749171537,0.46821904299507433,0.2168216661384025,0.0581683832684135,0.06216584931247546,0.17104955301898894,0.007509951745806261,-0.6438623058403047,0.2857565267092641,0.1760059101687798
10,190,50.0,7420,5,6,1939,1950,0.0,851,140,991,1077,0,1077,1,1,0,2,2,5,2,1,205,0,4,0,0,0,118000,-0.7473495935288731,0.46427903392614056,-0.37841427847188425,-0.0504302951755835,0.15015490368892623,0.12617529594365512,0.15297908750493586,-0.9912712294464938,0.41603174536553955,-0.26457114454211306,0.3175939388711574,-0.42916570756273387,0.7104775159552026,-0.011870520999785505,0.07106445716737586,0.36142565616958877,-0.672645196713315,0.159892747397879,-0.03469785992415149,0.14725639422589176,-0.08548118237737186,-0.17358865264453094,0.12027986427119677,-0.01887751534801045,0.19625397498444913,0.4082439115297674,0.0006522827280587742
11,20,70.0,11200,5,5,1965,1965,0.0,906,134,1040,1040,0,1040,1,1,0,3,1,5,0,1,384,0,0,0,0,0,129500,-1.6867072331765156,-0.45004804998633485,0.680718976408,-0.282054711882127,0.0375562398791596,0.06000160043606145,-0.5839868351439069,-0.06446760543780254,0.4474730187572349,0.6466216862341503,-0.2816406451800982,-0.0016731455682661373,0.018410870559310566,-0.5449047938255275,0.23386469174807917,-0.35329759784321657,0.055105411243293594,0.08082016101755445,0.011941836615897351,0.06680594750812976,0.04949076559746773,0.05600953596270233,-0.11447420474937678,0.12231319195091007,-0.03631080450087202,-0.06409471644580364,-0.03654611374476336
12,60,85.0,11924,9,5,2005,2006,286.0,998,177,1175,1182,1142,2324,1,3,0,4,1,11,2,3,736,147,21,0,0,0,345000,1.6672313884445296,0.08614142827566586,1.7041308037730656,1.208100903077149,1.9981714324856272,-0.8340094919486255,-0.39090388751386856,-0.24936745153773915,0.5668565208605015,-0.3131562903616595,0.06899131620390092,-0.40070162568182677,0.49142166112380264,0.04638387808780998,0.14105792661695504,-0.03514114982339047,-0.1571043784431746,-0.2807227153254182,0.1612248798837215,0.3965040903718054,0.11850650105646976,-0.29506372642453427,0.10392815826686753,0.08157414368864319,-0.27086743626547377,-0.1564909757302942,0.023482636183902835
13,20,0.0,12968,5,6,1962,1962,0.0,737,175,912,912,0,912,1,1,0,2,1,4,0,1,352,140,0,0,176,0,144000,-1.9563940114433467,-0.8089268832387636,0.3125913645927011,0.22242593063559044,-0.058326838685239114,0.19173070937808567,-0.31244312435440413,0.37998745857802313,0.22672031344586818,0.221299416961745,0.028493889887336622,-0.4937910560841854,0.21269906401011937,0.2595062287649708,0.0197150868635415,-0.05409675611820403,0.25734467547242335,0.015342949561856258,0.08285146097981232,0.10155070727211167,0.18973765950414503,-0.07062068307987401,0.05855279025397978,0.16796342781282292,0.4241924713350877,-0.1624903142602097,0.008299029166601522
14,20,91.0,10652,7,5,2006,2007,306.0,0,1494,1494,1494,0,1494,0,2,0,3,1,7,1,3,840,160,33,0,0,0,279500,2.6038149589655117,-0.02194236547928944,0.8315496483433611,0.5790963401771455,-0.9595245181080657,0.389209481162292,0.6166387755824904,-0.2073662355489437,0.12927513586243825,0.5096300044724288,0.15303234875993785,0.21395112311483647,0.22374541264218187,-0.18140496939995646,0.1179888256009093,0.04984738592474134,-0.03412589403003395,-0.46455917385007084,0.2475538377523597,0.005180745970318343,-0.10148271861688335,0.007510508450192632,0.08407485070757109,0.02618310002829066,0.05073083695980709,-0.03329165327691714,-0.132895459896856
15,20,0.0,10920,6,5,1960,1960,212.0,733,520,1253,1253,0,1253,1,1,1,2,1,5,1,1,352,0,213,176,0,0,157000,-1.2739189648669755,-1.9587918448369797,0.40512614994314855,0.3327419583581776,0.5498655249201958,0.6369781435486224,1.0195924382153954,-0.6204876764249015,-0.5048283806445446,-0.4630225747549412,-0.22334463195776724,0.11021152176630812,-0.21408858943287465,0.09233165137897492,-0.34298591227928915,-0.23199473378199326,0.2343911231514206,-0.22692261236081354,0.0938983329455509,0.10338522678825575,0.08752110231604858,-0.18114514874306034,0.1313409563650527,0.23547732745169242,0.1545500182870129,0.05862589903407839,-0.06658110399907728
16,45,51.0,6120,7,8,1929,2001,0.0,0,832,832,854,0,854,0,1,0,2,1,5,0,2,576,48,112,0,0,0,132000,-1.2987903616570744,1.9109398509235855,-0.10427142622726093,0.4941054512013409,0.18709461042503808,0.8901603967896008,-0.41513730760985557,-0.8795832945410585,0.47024424214925176,0.49355335507200104,-0.4218443262578202,0.0273543860915417,-0.07978007252625344,0.06475636976875239,-0.0012076456914850793,0.22110893090111705,0.0471679309745976,-0.11255734225843247,0.040511065027813875,-0.05721856285607953,-0.5331271722025407,0.39364877834411693,-0.353518054288675,-0.11373457369033178,-0.06760797980787381,0.09425787809707861,0.029489146735737316
17,20,0.0,11241,6,7,1970,1970,180.0,578,426,1004,1004,0,1004,1,1,0,2,1,5,1,2,480,0,0,0,0,0,149000,-0.8318014734464871,-1.6206852591741474,-0.09625180421781637,0.7393527399284566,0.23327122393719915,-0.13356080646816282,0.2849988741460405,0.013282901845133381,0.47754233756062714,0.9545411644304288,-0.706749156657146,0.2414661216418216,-0.34581187581471545,0.19472428561344926,-0.20585382926785362,0.08036347884444121,-0.08083599538053492,0.4975740735918003,-0.054708815961745344,-0.055740166536114646,-0.0836536999717829,-0.005233687528443931,-0.00851783471785857,0.0033237064723212638,0.11514157830859545,-0.03391002497487729,-0.03809736270881906
18,90,72.0,10791,4,5,1967,1967,0.0,0,0,0,1296,0,1296,0,2,0,2,2,6,0,2,516,0,0,0,0,0,90000,-1.509289962303408,-0.04407483569442269,0.30688741872805936,-0.47365820023669486,-0.4870219736131099,-0.1687457382358339,0.07008554152783616,-0.33325044424831407,-0.5102893283086661,-0.00038982752218181226,0.2832534047987168,1.0457435308691971,-0.03429865812654115,0.496103729731212,-0.18438743760308396,0.05729821338410851,-0.26794320546542383,-0.013956301599251791,0.2511604602329201,0.27286271942439805,0.23821752321209674,0.3576486784939203,-0.03339652775915121,0.2340195271679595,-0.024887207039129163,-0.2353246436522538,-0.17486188574066625
19,20,66.0,13695,5,5,2004,2004,0.0,646,468,1114,1114,0,1114,1,1,1,3,1,6,0,2,576,0,102,0,0,0,159000,0.37169498245429083,0.9662366439809158,0.2938842763317312,-0.3344765258669532,-0.9627948225808992,0.02732779990192653,-0.2200671709677469,-0.07299966442267192,0.27044029232208133,-0.5321325996572507,-0.07651976011766423,-0.6436011932005625,0.46571981887102665,0.14490524608812588,-0.667410184647676,0.15689391533663904,-0.032945024978535374,-0.13744074386714278,0.19751877331506731,-0.1754134986618276,0.03268529603832095,0.13765540040772126,0.2604544327788196,0.08327750392195186,-0.10622591760525531,-0.08803262207050856,-0.07413318023382205
20,20,70.0,7560,5,6,1958,1965,0.0,504,525,1029,1339,0,1339,0,1,0,3,1,6,0,1,294,0,0,0,0,0,139000,-1.797798172349314,-0.998668203720538,1.1740727920420282,-0.23782812839629955,-0.38513882258390014,0.0702529127067578,-0.6440253725554652,0.28377177643253526,0.5572598749454359,-0.5140629682301799,-0.2229440087372581,-0.07474837703000656,0.03867004169407147,-0.09312333250150466,0.026044815821315848,-0.09690888725400335,-0.1942580792165049,0.1797162178488662,0.4507438170317398,-0.7261365634299672,0.8273636679897176,0.21010334719144322,-0.39650771245698513,-0.0036644526211528305,-0.23213982066095623,0.052595325544028945,0.15151236860475614
21,60,101.0,14215,8,5,2005,2006,380.0,0,1158,1158,1158,1218,2376,0,3,1,4,1,9,1,3,853,240,154,0,0,0,325300,2.434724945855703,0.316568307924279,0.49655369192962195,1.1083458480292725,0.7418772628855864,0.6935030106036613,0.24832205337143134,-0.46110051708694416,-0.17492594700371306,0.4766245955256508,-0.09176667603195049,-0.07612206162130197,0.04819166870325968,0.3925355788024342,0.047243743646519,0.10320104090850957,0.05028975160361743,-0.26835034259756707,-0.0727116332360271,0.1861631462659508,0.09441424482058036,-0.27501661736426913,0.048591104079635884,-0.16414043682705856,0.0010250292263490465,0.06059714065365159,0.06403302822131943
22,45,57.0,7449,7,7,1930,1950,0.0,0,637,637,1108,0,1108,0,1,0,3,1,6,1,1,280,0,0,205,0,0,139400,-0.6022312321321913,1.7959242969139988,0.2957966151118041,0.26645604176407794,-0.012930955534102399,-0.32517275614197455,-0.2132342663971495,-0.14624689872080204,0.022323488049217695,0.032002282424624155,0.20169825288221846,-0.08747637749715728,-0.39631243107603137,0.37432178687530676,-0.550190366897582,0.7859337834512695,0.29027539230152377,-0.6370306589439656,-0.5536732374405693,-0.7059215026458244,-0.3838003603189782,0.37296999107107254,-0.13411664043778934,-0.2233119607603485,-0.23915070179388137,0.2046484933323717,-0.006935256899158024
23,20,75.0,9742,8,5,2002,2002,281.0,0,1777,1777,1795,0,1795,0,2,0,3,1,7,1,2,534,171,159,0,0,0,230000,2.0743760564042115,-0.07136050581095749,0.6801842947271233,-0.7793359171382913,-0.2938951920755002,0.42411797861366946,0.40873425416450176,-0.22715184489280857,-0.4507504515085534,0.3471220230184668,0.5188611086792179,-0.14489336234782374,-0.09852492178542484,-0.24828171469767255,-0.05779535898709474,0.11243372177995363,0.032523902334124354,-0.06913854741902663,0.13606929252241798,0.03720289957370381,-0.14149259110027296,0.007219657489447005,0.05445319668865816,-0.016394838509745515,-0.06446476638062068,-0.05814816789479384,-0.02471361519937653
24,120,44.0,4224,5,7,1976,1976,0.0,840,200,1040,1060,0,1060,1,1,0,3,1,6,1,2,572,100,110,0,0,0,129900,-0.5991485637373046,0.1212016903928583,-0.28299040072786324,-1.2255752193247567,-0.22995141199791613,0.18286309249434013,-0.21346330451749027,0.3161403559080651,0.36287988133839966,-0.5127859424474649,0.20766016401886195,0.1620336410999383,0.12320186714347343,0.13994785806014778,-0.12009507933215977,0.06351793774037383,-0.5768700567633532,-0.30106793759163925,-0.09703589977519056,-0.0418567400759909,-0.06139161737079143,-0.3097909365639964,-0.016296477343019658,-0.09092038126996489,0.03066988576389105,-0.013241790702700616,0.10871202538136295
25,20,0.0,8246,5,8,1968,2001,0.0,188,204,1060,1060,0,1060,1,1,0,3,1,6,1,1,270,406,90,0,0,0,154000,-0.8586690915902213,-1.1659872221305034,-0.33888332454336123,0.7939156234959232,-0.9227279824100899,-0.6225892134336056,-0.0774051163745293,1.149016681587935,1.0608844541973503,0.357018973166897,0.5535955163451469,0.15975695517575297,0.48840493080845876,0.5347699155196899,-0.42167097634000467,-0.535806121310331,0.12417670393974692,0.01038959445220013,-0.2977339445517277,0.18211096817093864,-0.02760815408660738,-0.04691921511321846,-0.1345896607709464,0.028924506860189436,0.029656271428007898,-0.022299547624944856,-0.047473620084407316
26,20,110.0,14230,8,5,2007,2007,640.0,0,1566,1566,1600,0,1600,0,2,0,3,1,7,1,3,890,0,56,0,0,0,256300,2.036367762272642,0.2855923726031076,0.280347816682345,-0.09692606952170074,-0.7344310174819841,0.985844932055635,-0.26419255839130484,-0.3757523492049763,-0.9044538019396373,0.2603563215442198,0.6369977314975327,-0.39262382842704924,-0.02132593900173024,-0.002151935203709875,0.4418959138866979,-0.0612767346432421,-0.19493032031658997,-0.3331322638132346,0.20465589967830433,-0.11061854301818193,0.20523885214536128,0.09097591341652687,-0.06305820190651829,0.03263129444248956,-0.06715190676828439,0.14509448233052985,0.12069920639260105
